상품명,제조사,평균가격,조사일,상품명_로마자
삼다수(500ml*20개),광동제약,10928.888888888889,2025-07-04,samdasu(500ml*20gae)
삼립 미니꿀약과(500g),삼립식품,5480.0,2025-07-04,samlib mini-kkul-yaggwa(500g)
삼립호떡 미니꿀호떡(16개입),삼립식품,4476.0,2025-07-04,samlibho-tteog mini-kkulho-tteog(16gae-ib)
삼양라면(5개입),삼양식품,3590.3779527559054,2025-07-04,sam-yanglamyeon(5gae-ib)
삼호 안심 부산어묵(400g),CJ제일제당,4458.491803278688,2025-07-04,samho ansim busan-eomug(400g)
상하목장 슬로우버터 무염(100g),매일유업,3911.304347826087,2025-07-04,sanghamogjang seullo-ubeoteo mu-yeom(100g)
샘표 맥아물엿(1.2kg),샘표,4150.0,2025-07-04,saempyo maeg-amul-yeos(1.2kg)
샘표 토장(900g),샘표,9711.828571428572,2025-07-04,saempyo tojang(900g)
샤프란 아우라 초고농축 섬유유연제 홀리데이판타지(2L),LG생활건강,16686.162361623617,2025-07-04,syapeulan a-ula chogonongchug seom-yu-yu-yeonje hollide-ipantaji(2l)
샤프란케어 은은한향(900ml),LG생활건강,5463.1578947368425,2025-07-04,syapeulanke-eo eun-eunhanhyang(900ml)
서울 저지방 우유(1L),서울우유,3404.353312302839,2025-07-04,seo-ul jeojibang u-yu(1l)
서울우유 버터(450g),서울우유,11455.46153846154,2025-07-04,seo-ul-u-yu beoteo(450g)
서울우유 체다슬라이스치즈(270g),서울우유,7015.714285714285,2025-07-04,seo-ul-u-yu chedaseulla-iseuchijeu(270g)
서울우유 체다슬라이스치즈(360g),서울우유,9307.395143487858,2025-07-04,seo-ul-u-yu chedaseulla-iseuchijeu(360g)
서울우유 흰우유(1L),서울우유,3126.0111731843576,2025-07-04,seo-ul-u-yu huin-u-yu(1l)
서울장수생막걸리(750ml),서울탁주,1699.235924932976,2025-07-04,seo-uljangsusaengmaggeolli(750ml)
셀렉스 스포츠 웨이프로틴 초콜릿(330ml),매일헬스뉴트리션,2861.972602739726,2025-07-04,sellegseu seupocheu we-ipeulotin chokollis(330ml)
손잡이 크린백(35cm x 45cm),크린랩,5481.325966850829,2025-07-04,sonjab-i keulinbaeg(35cm x 45cm)
"쇠고기 등심(1+등급, 100g)",등심,16760.0,2025-07-04,"soegogi deungsim(1+deunggeub, 100g)"
"쇠고기 등심(1등급, 100g)",등심,14208.25925925926,2025-07-04,"soegogi deungsim(1deunggeub, 100g)"
"쇠고기 불고기(1+등급, 100g)",불고기,5613.333333333333,2025-07-04,"soegogi bulgogi(1+deunggeub, 100g)"
"쇠고기 불고기(1등급, 100g)",불고기,5432.0625,2025-07-04,"soegogi bulgogi(1deunggeub, 100g)"
순창 100% 현미 태양초 찰고추장(1kg),대상,20401.77852348993,2025-07-04,sunchang 100% hyeonmi tae-yangcho chalgochujang(1kg)
순창 재래식안심생된장(1kg),대상,9693.79767827529,2025-07-04,sunchang jaelaesig-ansimsaengdoenjang(1kg)
쉬크 하이드로5 베이직 센서티브 면도날(8개),LG생활건강,39300.0,2025-07-04,swikeu ha-ideulo5 be-ijig senseotibeu myeondonal(8gae)
스모크델리 훈제오리(500g),팜덕,12980.0,2025-07-04,seumokeudelli hunje-oli(500g)
스카트 물걸레청소포 베이직 표준형(30매),유한킴벌리,11620.0,2025-07-04,seukateu mulgeollecheongsopo be-ijig pyojunhyeong(30mae)
스타벅스 네스프레소 디카프 에스프레소 로스트(57g),한국네슬레,9306.560726447218,2025-07-04,seutabeogseu neseupeuleso dikapeu eseupeuleso loseuteu(57g)
스타벅스 네스프레소 하우스 블렌드(57g),한국네슬레,9309.527027027028,2025-07-04,seutabeogseu neseupeuleso ha-useu beullendeu(57g)
스타벅스 돌체구스토 하우스 블렌드(102g),한국네슬레,9348.57371794872,2025-07-04,seutabeogseu dolcheguseuto ha-useu beullendeu(102g)
스파크 분말세제(3kg),애경,12700.0,2025-07-04,seupakeu bunmalseje(3kg)
스팸 클래식(200g),CJ제일제당,5535.2854812398045,2025-07-04,seupaem keullaesig(200g)
스페셜K 오리지널(480g),농심,8783.636363636364,2025-07-04,seupesyeolk olijineol(480g)
스프라이트(1.5L),코카콜라음료,3074.261006289308,2025-07-04,seupeula-iteu(1.5l)
시금치(250~400g),일반,5147.8125,2025-07-04,sigeumchi(250~400g)
식물성 마가린(200g),오뚜기,2428.0,2025-07-04,sigmulseong magalin(200g)
신라면(5개입),농심,4199.1065830721,2025-07-04,sinlamyeon(5gae-ib)
썬 부탄가스(4개),태양산업,7346.438356164384,2025-07-04,sseon butangaseu(4gae)
쏘피 바디피트 볼록맞춤 중형(36개입),LG생활건강,13477.118644067798,2025-07-04,ssopi badipiteu bollogmajchum junghyeong(36gae-ib)
씨그램 탄산수 플레인(350ml),코카콜라음료,953.002421307506,2025-07-04,ssigeulaem tansansu peulle-in(350ml)
아름찬 3년숙성 국산 까나리액젓(1kg),농업회사법인농협식품,5980.0,2025-07-04,aleumchan 3nyeonsugseong gugsan kkanali-aegjeos(1kg)
아름찬 3년숙성 국산 멸치액젓(1kg),농업회사법인농협식품,6000.0,2025-07-04,aleumchan 3nyeonsugseong gugsan myeolchi-aegjeos(1kg)
아이!깨끗해 항균폼 상큼한레몬향(250ml),CJ라이온,5765.109375,2025-07-04,a-i!kkae-kkeushae hanggyunpom sangkeumhanlemonhyang(250ml)
아이꼬야 맘스쿠킹 소고기와두부진밥(100g),남양유업,3184.6938775510203,2025-07-04,a-i-kko-ya mamseukuking sogogi-wadubujinbab(100g)
아이비(309g),해태제과,3582.5,2025-07-04,a-ibi(309g)
아이시스(2L),롯데칠성음료,763.8965517241379,2025-07-04,a-isiseu(2l)
아이시스(500ml),롯데칠성음료,396.60406885759,2025-07-04,a-isiseu(500ml)
아이얌 아기밀 한우표고야채진밥(100g),일동후디스,3193.103448275862,2025-07-04,a-i-yam agimil han-upyogo-yachaejinbab(100g)
아카페라 스위트아메리카노(240ml),빙그레,1484.2553191489362,2025-07-04,akapela seu-witeu-amelikano(240ml)
안성탕면(5개입),농심,3910.268138801262,2025-07-04,anseongtangmyeon(5gae-ib)
알라 무염버터(400g),매일유업,10948.122605363984,2025-07-04,alla mu-yeombeoteo(400g)
알쿠니아 황도(840g),농심,5844.854368932039,2025-07-04,alkuni-a hwangdo(840g)
애호박,일반,1722.0588235294117,2025-07-04,aehobag
액츠 퍼펙트 실내건조 겸용(3L),피죤,14375.979202772964,2025-07-04,aegcheu peopegteu silnaegeonjo gyeom-yong(3l)
앱솔루트 명작 3단계(800g),매일유업,28100.0,2025-07-04,aebsolluteu myeongjag 3dangye(800g)
얄피꽉찬 쌀물만두(1kg),풀무원,10415.566666666668,2025-07-04,yalpi-kkwagchan ssalmulmandu(1kg)
양반 들기름김 올리브김 복합기획(16팩),동원,8668.35294117647,2025-07-04,yangban deulgileumgim ollibeugim boghabgihoeg(16paeg)
양반 포기김치(1.9kg),동원에프앤비,18372.96803652968,2025-07-04,yangban pogigimchi(1.9kg)
양배추,일반,4128.0,2025-07-04,yangbaechu
양송이버섯(100g),일반,2684.3214285714284,2025-07-04,yangsong-ibeoseos(100g)
양조간장 501(500ml),샘표,5866.756838905775,2025-07-04,yangjoganjang 501(500ml)
"양파(껍질 있는 망포장, 1.5kg)",일반,5161.365384615385,2025-07-04,"yangpa(kkeobjil issneun mangpojang, 1.5kg)"
에너자이저 맥스 AAA(4개입),에너자이저코리아,6718.472440944882,2025-07-04,eneoja-ijeo maegseu aaa(4gae-ib)
에너자이저 맥스플러스 AA(4개입),에너자이저코리아,9287.907742998352,2025-07-04,eneoja-ijeo maegseupeulleoseu aa(4gae-ib)
에스앤비 생와사비(43g),훼밀리인터내셔날,3651.383147853736,2025-07-04,eseu-aenbi saeng-wasabi(43g)
에프킬라 에어로졸 무향(500ml),에스씨존슨코리아(유),6114.312617702448,2025-07-04,epeukilla e-eolojol muhyang(500ml)
엘라스틴 모로칸 아르간 오일 집중영양 샴푸(680ml),LG생활건강,8219.318181818182,2025-07-04,ellaseutin molokan aleugan o-il jibjung-yeong-yang syampu(680ml)
엘라스틴 아르간오일 데미지 트리트먼트(300ml),LG생활건강,9508.09264305177,2025-07-04,ellaseutin aleugan-o-il demiji teuliteumeonteu(300ml)
여명808(140ml),그래미,5345.0,2025-07-04,yeomyeong808(140ml)
열라면(5개입),오뚜기,3951.632329635499,2025-07-04,yeollamyeon(5gae-ib)
옛날 자른당면(300g),오뚜기,4919.375,2025-07-04,yesnal jaleundangmyeon(300g)
옛날국수 소면(900g),오뚜기,3569.264214046823,2025-07-04,yesnalgugsu somyeon(900g)
오가니스트 히말라야 핑크솔트 바디워시 리프레싱 민트향(865ml),LG생활건강,12714.417475728156,2025-07-04,oganiseuteu himalla-ya pingkeusolteu badi-wosi lipeulesing minteuhyang(865ml)
오뚜기 가벼운참치 더마일드(135g),오뚜기,3267.2727272727275,2025-07-04,o-ttugi gabyeo-unchamchi deoma-ildeu(135g)
오뚜기 가벼운참치 더마일드(4캔),오뚜기,8675.679347826086,2025-07-04,o-ttugi gabyeo-unchamchi deoma-ildeu(4kaen)
오뚜기 간편 미역국(5개입),오뚜기,3988.1967213114754,2025-07-04,o-ttugi ganpyeon mi-yeoggug(5gae-ib)
오뚜기 간편 북엇국(5개입),오뚜기,3987.434944237918,2025-07-04,o-ttugi ganpyeon bug-eosgug(5gae-ib)
오뚜기 고소한 골드 마요네즈(500g),오뚜기,6715.654627539503,2025-07-04,o-ttugi gosohan goldeu ma-yonejeu(500g)
오뚜기 등심돈까스(500g),오뚜기,10452.627737226278,2025-07-04,o-ttugi deungsimdonkkaseu(500g)
오뚜기 딸기잼(500g),오뚜기,7804.581005586592,2025-07-04,o-ttugi ttalgijaem(500g)
오뚜기 부침가루(1kg),오뚜기,3453.369734789392,2025-07-04,o-ttugi buchimgalu(1kg)
오뚜기 사과식초(900ml),오뚜기,3620.7553551296505,2025-07-04,o-ttugi sagwasigcho(900ml)
오뚜기 생와사비(43g),오뚜기,4339.1716068642745,2025-07-04,o-ttugi saeng-wasabi(43g)
오뚜기 연와사비(35g),오뚜기,1799.2727272727273,2025-07-04,o-ttugi yeon-wasabi(35g)
오뚜기 옛날 물엿(1.2kg),오뚜기,5456.666666666667,2025-07-04,o-ttugi yesnal mul-yeos(1.2kg)
오뚜기 옛날 미역(100g),오뚜기,4894.736842105263,2025-07-04,o-ttugi yesnal mi-yeog(100g)
오뚜기 옛날 볶음참깨(200g),오뚜기,5926.363636363636,2025-07-04,o-ttugi yesnal bokk-eumchamkkae(200g)
오뚜기 옛날 사골곰탕(350g),오뚜기,1467.9442508710802,2025-07-04,o-ttugi yesnal sagolgomtang(350g)
오뚜기 옛날 육개장(300g),오뚜기,1130.3801916932907,2025-07-04,o-ttugi yesnal yuggaejang(300g)
오뚜기 옛날 자른미역(50g),오뚜기,3408.265306122449,2025-07-04,o-ttugi yesnal jaleunmi-yeog(50g)
오뚜기 진한 쇠고기미역국밥(314g),오뚜기,4826.916890080429,2025-07-04,o-ttugi jinhan soegogimi-yeoggugbab(314g)
오뚜기 참기름(320ml),오뚜기,11948.939226519336,2025-07-04,o-ttugi chamgileum(320ml)
오뚜기 참깨라면 컵(110g),오뚜기,1438.1263858093128,2025-07-04,o-ttugi chamkkaelamyeon keob(110g)
오뚜기 카놀라유(900ml),오뚜기,9494.57627118644,2025-07-04,o-ttugi kanolla-yu(900ml)
오뚜기 컵밥 제육덮밥(310g),오뚜기,4457.9584775086505,2025-07-04,o-ttugi keobbab je-yugdeopbab(310g)
오뚜기 콩기름(900ml),오뚜기,6062.910891089109,2025-07-04,o-ttugi konggileum(900ml)
오뚜기 크림스프(80g),오뚜기,2259.3406593406594,2025-07-04,o-ttugi keulimseupeu(80g)
오뚜기 토마토 케찹(500g),오뚜기,3777.0349492671926,2025-07-04,o-ttugi tomato kechab(500g)
오뚜기 프레스코 스파게티(500g),오뚜기,3763.653250773994,2025-07-04,o-ttugi peuleseuko seupageti(500g)
오뚜기 황도(400g),오뚜기,3475.984147952444,2025-07-04,o-ttugi hwangdo(400g)
오뚜기밥(210g),오뚜기,1799.3790849673203,2025-07-04,o-ttugibab(210g)
오뚜기밥(3개입),오뚜기,3290.880829015544,2025-07-04,o-ttugibab(3gae-ib)
오뚜기밥(6개입) ,오뚜기,7064.615384615385,2025-07-04,o-ttugibab(6gae-ib) 
오뚜기카레 순한맛(100g),오뚜기,2483.8313253012047,2025-07-04,o-ttugikale sunhanmas(100g)
오랄비 크로스액션(3개입),한국피앤지,11602.1778584392,2025-07-04,olalbi keuloseu-aegsyeon(3gae-ib)
오로나민C(10개입),동아오츠카,11565.0,2025-07-04,olonaminc(10gae-ib)
오리온 왕꿈틀이(67g),오리온,810.7142857142857,2025-07-04,oli-on wangkkumteul-i(67g)
오리온 초코파이(18개입),오리온,6478.1857451403885,2025-07-04,oli-on chokopa-i(18gae-ib)
오리온 통아몬드 캔디(90g),오리온,1661.800219538968,2025-07-04,oli-on tong-amondeu kaendi(90g)
오리온 포카칩 오리지널(66g),오리온,1462.2257053291537,2025-07-04,oli-on pokachib olijineol(66g)
오이(백다다기),일반,1254.179487179487,2025-07-04,o-i(baegdadagi)
"오징어(냉동, 200~300g)",일반,3563.6,2025-07-04,"ojing-eo(naengdong, 200~300g)"
"오징어(생물, 200~300g)",일반,4921.277777777777,2025-07-04,"ojing-eo(saengmul, 200~300g)"
옥수수 마가린(200g),오뚜기,2560.06600660066,2025-07-04,ogsusu magalin(200g)
온더바디 로맨틱 아이리스향 바디워시(900ml),LG생활건강,10107.651515151516,2025-07-04,ondeobadi lomaentig a-iliseuhyang badi-wosi(900ml)
온뜨락 볶음참깨(200g),장뜰영농조합법인,19790.0,2025-07-04,ontteulag bokk-eumchamkkae(200g)
요플레 오리지널(4개),빙그레,3980.539568345324,2025-07-04,yopeulle olijineol(4gae)
움트리 생와사비(120g),움트리,5946.090425531915,2025-07-04,umteuli saeng-wasabi(120g)
유한락스 레귤러(2L),유한양행,6025.0,2025-07-04,yuhanlagseu legyulleo(2l)
유한락스 욕실청소용(1800ml),유한양행,9797.119341563786,2025-07-04,yuhanlagseu yogsilcheongso-yong(1800ml)
유한락스 후레쉬(2L),유한양행,6640.6984126984125,2025-07-04,yuhanlagseu huleswi(2l)
의성마늘 빅그릴 비엔나(600g),롯데햄,9679.507389162562,2025-07-04,uiseongmaneul biggeulil bi-enna(600g)
의성마늘 한입슬라이스햄(60g),롯데햄,2522.8015564202333,2025-07-04,uiseongmaneul han-ibseulla-iseuhaem(60g)
의성마늘 훈제오리 슬라이스(400g),롯데웰푸드,12270.833333333334,2025-07-04,uiseongmaneul hunje-oli seulla-iseu(400g)
이오(5개),남양유업,2480.4682274247493,2025-07-04,i-o(5gae)
일가집 비타 김밥단무지(400g),일미농수산,3053.700115340254,2025-07-04,ilgajib bita gimbabdanmuji(400g)
일품 해물라면(5개입),팔도,4917.510204081633,2025-07-04,ilpum haemullamyeon(5gae-ib)
임금님표 이천쌀 특등급(10kg),부발농업협동조합,45896.06741573034,2025-07-04,imgeumnimpyo icheonssal teugdeunggeub(10kg)
임금님표 이천쌀(4kg),부발농업협동조합,23900.0,2025-07-04,imgeumnimpyo icheonssal(4kg)
임페리얼 드림 XO 3단계(800g),남양유업,24820.6106870229,2025-07-04,impeli-eol deulim xo 3dangye(800g)
자연퐁 솔잎(490ml),LG생활건강,5464.726027397261,2025-07-04,ja-yeonpong sol-ip(490ml)
자유시간(36g),해태제과,1074.7835990888382,2025-07-04,ja-yusigan(36g)
자유시간(5개입),해태제과,4901.477272727273,2025-07-04,ja-yusigan(5gae-ib)
작지만 진한 약콩(500g),용두농업협동조합,8980.0,2025-07-04,jagjiman jinhan yagkong(500g)
잘풀리는집 깨끗한 순앤순 3겹(30롤),미래생활,19900.0,2025-07-04,jalpullineunjib kkae-kkeushan sun-aensun 3gyeob(30lol)
적상추(100g),일반,2028.2941176470588,2025-07-04,jeogsangchu(100g)
전G베이컨(200g),에쓰푸드,4582.316384180791,2025-07-04,jeongbe-ikeon(200g)
정성식품 백명란젓(300g),정성식품,10680.0,2025-07-04,jeongseongsigpum baegmyeonglanjeos(300g)
정성식품 오징어젓(400g),정성식품,10680.0,2025-07-04,jeongseongsigpum ojing-eojeos(400g)
정통 보름달(3개입),삼립식품,4478.916827852998,2025-07-04,jeongtong boleumdal(3gae-ib)
정통크림빵(3개입),삼립식품,4528.078078078078,2025-07-04,jeongtongkeulimppang(3gae-ib)
제주 위트 에일(500ml),제주맥주주식회사,3112.16,2025-07-04,jeju witeu e-il(500ml)
존슨즈 베드타임 로션(500ml),한국존슨앤존슨,20900.352733686068,2025-07-04,jonseunjeu bedeuta-im losyeon(500ml)
종가 국산 고춧가루 매운맛(200g),대상,16000.0,2025-07-04,jongga gugsan gochusgalu mae-unmas(200g)
종가 국산 고춧가루 순한맛(200g),대상,14665.0,2025-07-04,jongga gugsan gochusgalu sunhanmas(200g)
종가 전라도 포기김치(2.8kg),대상,29830.742049469965,2025-07-04,jongga jeonlado pogigimchi(2.8kg)
좋은느낌 오리지널 울트라슬림 날개 중형(36개입),유한킴벌리,13291.295454545454,2025-07-04,joh-eunneu-kkim olijineol ulteulaseullim nalgae junghyeong(36gae-ib)
좋은느낌 유기농순면커버 울트라슬림 날개 중형(36개입),유한킴벌리,16648.88888888889,2025-07-04,joh-eunneu-kkim yuginongsunmyeonkeobeo ulteulaseullim nalgae junghyeong(36gae-ib)
주부9단 불고기햄(300g),농협목우촌,6959.49494949495,2025-07-04,jubu9dan bulgogihaem(300g)
주부9단 프랑크소시지(900g),농협목우촌,10455.0,2025-07-04,jubu9dan peulangkeusosiji(900g)
지퍼락 지퍼백 냉장 중형(20매),에스씨존슨코리아(유),3518.2163187855786,2025-07-04,jipeolag jipeobaeg naengjang junghyeong(20mae)
진간장 금F3(860ml),샘표,7145.973480662983,2025-07-04,jinganjang geumf3(860ml)
진라면 매운맛(5개입),오뚜기,3959.4770206022185,2025-07-04,jinlamyeon mae-unmas(5gae-ib)
진라면 순한맛(5개입),오뚜기,3956.6097240473055,2025-07-04,jinlamyeon sunhanmas(5gae-ib)
진로 와인(500ml),진로,2440.991869918699,2025-07-04,jinlo wa-in(500ml)
쪽파(흙쪽파),일반,1510.2,2025-07-04,jjogpa(heulgjjogpa)
참 건강한 동물복지 닭백숙(1.19kg),참프레,11100.0,2025-07-04,cham geonganghan dongmulbogji dalgbaegsug(1.19kg)
참이슬 오리지널(360ml),진로,1411.9490586932448,2025-07-04,cham-iseul olijineol(360ml)
참이슬 후레쉬(360ml),진로,1409.9671772428885,2025-07-04,cham-iseul huleswi(360ml)
참조기(200~400g),일반,3382.5,2025-07-04,chamjogi(200~400g)
참크래커(280g),크라운제과,3388.925353925354,2025-07-04,chamkeulaekeo(280g)
처음먹는 단호박 퓨레(80g),베베쿡,2967.1875,2025-07-04,cheo-eummeogneun danhobag pyule(80g)
처음처럼(360ml),롯데주류,1409.9447513812154,2025-07-04,cheo-eumcheoleom(360ml)
철원 오대쌀(10kg),철원농업협동조합,43009.00900900901,2025-07-04,cheol-won odae-ssal(10kg)
청오 유기농 발아 볶음참깨(200g),청오건강농업회사법인,6980.0,2025-07-04,cheong-o yuginong bal-a bokk-eumchamkkae(200g)
청정원 고소하고 바삭한 베이컨(1kg),대상,12900.0,2025-07-04,cheongjeong-won gosohago basaghan be-ikeon(1kg)
청정원 고소한 마요네즈(500g),대상,5951.877300613497,2025-07-04,cheongjeong-won gosohan ma-yonejeu(500g)
청정원 김밥용 단무지(400g),대상,3279.0706319702604,2025-07-04,cheongjeong-won gimbab-yong danmuji(400g)
청정원 남해안 멸치액젓 골드(750g),대상,5619.473684210527,2025-07-04,cheongjeong-won namhae-an myeolchi-aegjeos goldeu(750g)
청정원 대나무숙성 멸치액젓(750g),대상,4743.396524486572,2025-07-04,cheongjeong-won daenamusugseong myeolchi-aegjeos(750g)
청정원 동물복지 청정유정란(15개),대상,8549.942857142858,2025-07-04,cheongjeong-won dongmulbogji cheongjeong-yujeonglan(15gae)
청정원 맛선생 국내산해물(250g),대상,11075.963488843814,2025-07-04,cheongjeong-won mas-seonsaeng gugnaesanhaemul(250g)
청정원 물엿(1.2kg),대상,5036.2962962962965,2025-07-04,cheongjeong-won mul-yeos(1.2kg)
청정원 미원 맛소금(500g),대상,3276.6751918158566,2025-07-04,cheongjeong-won mi-won mas-sogeum(500g)
청정원 발사믹 드레싱(325g),대상,4137.959183673469,2025-07-04,cheongjeong-won balsamig deulesing(325g)
청정원 생와사비(40g),대상,3903.3112582781455,2025-07-04,cheongjeong-won saeng-wasabi(40g)
청정원 서해안 까나리액젓 골드(250g),대상,1800.0,2025-07-04,cheongjeong-won seohae-an kkanali-aegjeos goldeu(250g)
청정원 서해안 까나리액젓 골드(750g),대상,5800.907692307693,2025-07-04,cheongjeong-won seohae-an kkanali-aegjeos goldeu(750g)
청정원 순창 양념듬뿍 쌈장(500g),대상,5616.1163522012575,2025-07-04,cheongjeong-won sunchang yangnyeomdeumppug ssamjang(500g)
청정원 스파게티(500g),대상,3455.5205047318614,2025-07-04,cheongjeong-won seupageti(500g)
청정원 옛날식 짜장(180g),대상,2473.186440677966,2025-07-04,cheongjeong-won yesnalsig jjajang(180g)
청정원 오리엔탈 드레싱(325g),대상,4113.273542600897,2025-07-04,cheongjeong-won oli-ental deulesing(325g)
청정원 유기농 황설탕(454g),대상,5083.4602076124565,2025-07-04,cheongjeong-won yuginong hwangseoltang(454g)
청정원 유기농 흑설탕(454g),대상,5080.0,2025-07-04,cheongjeong-won yuginong heugseoltang(454g)
청정원 자유방목 동물복지 유정란(15개),대상,11809.333333333334,2025-07-04,cheongjeong-won ja-yubangmog dongmulbogji yujeonglan(15gae)
청정원 전주 콩나물(400g),대상,2230.0,2025-07-04,cheongjeong-won jeonju kongnamul(400g)
청정원 진한 토마토 케찹(500g),대상,3359.097065462754,2025-07-04,cheongjeong-won jinhan tomato kechab(500g)
청정원 카레여왕 구운마늘&양파(108g),대상,5733.74025974026,2025-07-04,cheongjeong-won kale-yeo-wang gu-unmaneul&yangpa(108g)
청정원 카레여왕 비프카레(160g),대상,2576.7558528428094,2025-07-04,cheongjeong-won kale-yeo-wang bipeukale(160g)
청정원 행복놀이터 동물복지 유정란(15개),대상,9372.513513513511,2025-07-04,cheongjeong-won haengbognol-iteo dongmulbogji yujeonglan(15gae)
초정탄산수 플레인(500ml),일화,1275.0,2025-07-04,chojeongtansansu peulle-in(500ml)
촉촉한 우유식빵(330g),삼립식품,3378.850574712644,2025-07-04,chogchoghan u-yusigppang(330g)
칠성사이다 제로(1.5L),롯데칠성음료,2742.0311041990667,2025-07-04,chilseongsa-ida jelo(1.5l)
카누 네스프레소 볼드다크로스트(57g),동서식품,8075.36858974359,2025-07-04,kanu neseupeuleso boldeudakeuloseuteu(57g)
카누 돌체구스토 볼드다크로스트(112g),동서식품,11742.656826568264,2025-07-04,kanu dolcheguseuto boldeudakeuloseuteu(112g)
카누 디카페인 아메리카노(30개입),동서식품,13324.551971326166,2025-07-04,kanu dikape-in amelikano(30gae-ib)
카누 마일드 로스트 아메리카노(30개입),동서식품,13532.452830188678,2025-07-04,kanu ma-ildeu loseuteu amelikano(30gae-ib)
카스 프레쉬(500ml),오비맥주,2238.2098765432097,2025-07-04,kaseu peuleswi(500ml)
카스 프레쉬(6캔),오비맥주,10618.73665480427,2025-07-04,kaseu peuleswi(6kaen)
칸타타 프리미엄 라떼(275ml),롯데칠성음료,2037.129943502825,2025-07-04,kantata peulimi-eom la-tte(275ml)
컨디션 헛개(100ml),에이치케이이노엔,4887.411167512691,2025-07-04,keondisyeon heosgae(100ml)
컴배트 스피드 에어졸(500ml),헨켈홈케어코리아,6188.179347826087,2025-07-04,keombaeteu seupideu e-eojol(500ml)
케라시스 데미지 클리닉 오리지널 샴푸(750ml),애경,6790.857142857143,2025-07-04,kelasiseu demiji keullinig olijineol syampu(750ml)
케라시스 데미지 클리닉 오리지널 트리트먼트(300ml),애경,5221.111111111111,2025-07-04,kelasiseu demiji keullinig olijineol teuliteumeonteu(300ml)
켈로그 레드베리 에너지바(4개입),농심,4646.1734104046245,2025-07-04,kellogeu ledeubeli eneojiba(4gae-ib)
켈로그 콘푸로스트(600g),농심,7375.809018567639,2025-07-04,kellogeu konpuloseuteu(600g)
코디 내추럴 미용티슈(230매*6입),쌍용씨앤비,12572.148148148148,2025-07-04,kodi naechuleol mi-yongtisyu(230mae*6ib)
코디 순백 3겹(30롤),쌍용씨앤비,30271.32075471698,2025-07-04,kodi sunbaeg 3gyeob(30lol)
코디 키친타월(6롤),쌍용씨앤비,8033.19391634981,2025-07-04,kodi kichinta-wol(6lol)
코디 포켓몬 물티슈 캡형(100매),쌍용씨앤비,2500.0,2025-07-18,kodi pokesmon multisyu kaebhyeong(100mae)
코디 해피퍼피 미용티슈(250매*6입),쌍용씨앤비,13625.954198473282,2025-07-04,kodi haepipeopi mi-yongtisyu(250mae*6ib)
코카콜라(1.8L),코카콜라음료,3838.1951219512193,2025-07-04,kokakolla(1.8l)
"콜리올리 깔끔하게 쓰는 1회용 패드(M, 100매)",롯데쇼핑,12961.137724550896,2025-07-04,"kolli-olli kkalkkeumhage sseuneun 1hoe-yong paedeu(m, 100mae)"
쿤달 허니 앤 마카다미아 헤어 트리트먼트 베이비파우더향(718ml),더스킨팩토리,13501.167315175097,2025-07-04,kundal heoni aen makadami-a he-eo teuliteumeonteu be-ibipa-udeohyang(718ml)
큐원 갈색설탕(1kg),삼양사,3092.850082372323,2025-07-04,kyu-won galsaegseoltang(1kg)
큐원 강력 밀가루(1kg),삼양사,2344.4,2025-07-04,kyu-won ganglyeog milgalu(1kg)
큐원 박력 밀가루(1kg),삼양사,2342.8571428571427,2025-07-04,kyu-won baglyeog milgalu(1kg)
큐원 요리 올리고당(1.2kg),삼양사,5480.0,2025-07-04,kyu-won yoli olligodang(1.2kg)
큐원 중력 밀가루(1kg),삼양사,1511.7985611510792,2025-07-04,kyu-won junglyeog milgalu(1kg)
큐원 하얀설탕(1kg),삼양사,2529.1935483870966,2025-07-04,kyu-won ha-yanseoltang(1kg)
큐원 흑설탕(1kg),삼양사,2952.9411764705883,2025-07-04,kyu-won heugseoltang(1kg)
크리넥스 KF-AD 라이트핏 쿨마스크 대형(15매),유한킴벌리,8724.137931034482,2025-07-04,keulinegseu kf-ad la-iteupis kulmaseukeu daehyeong(15mae)
크리넥스 KF94 와이드핏 마스크 대형,유한킴벌리,1241.6666666666667,2025-07-04,keulinegseu kf94 wa-ideupis maseukeu daehyeong
크리넥스 내추럴소프트 미용티슈(270매*6입),유한킴벌리,16225.868725868726,2025-07-04,keulinegseu naechuleolsopeuteu mi-yongtisyu(270mae*6ib)
크리넥스 데코엔소프트 3겹(30롤),유한킴벌리,24647.966101694918,2025-07-04,keulinegseu deko-ensopeuteu 3gyeob(30lol)
크리넥스 수앤수 라이언 물티슈 캡형(80매),유한킴벌리,2300.112540192926,2025-07-04,keulinegseu su-aensu la-i-eon multisyu kaebhyeong(80mae)
크리넥스 안심 키친타월(6롤),유한킴벌리,8600.0,2025-07-04,keulinegseu ansim kichinta-wol(6lol)
크리넥스 안심물티슈 캡형(60매),유한킴벌리,2870.6354515050166,2025-07-04,keulinegseu ansimmultisyu kaebhyeong(60mae)
크리넥스 울트라클린 3겹(30롤),유한킴벌리,32058.839285714286,2025-07-04,keulinegseu ulteulakeullin 3gyeob(30lol)
크리넥스 클린케어 3겹(30롤),유한킴벌리,22258.854166666668,2025-07-04,keulinegseu keullinke-eo 3gyeob(30lol)
크린 종이호일(25cm*20m),크린랩,4688.984375,2025-07-04,keulin jong-iho-il(25cm*20m)
